timestamp	test	autotune	serde_json	ratio	status	description
2026-03-24_08:17	small	706ns	400ns	0.57	keep	baseline SIMD
2026-03-24_13:50	small	457ns	296ns	0.65	keep	inline + fast path
2026-03-24_13:52	small	438ns	296ns	0.68	keep	number module
2026-03-24_13:52	medium	47.9µs	37.3µs	0.78	keep	number module
2026-03-24_13:52	large	10.5MiB/s	53.1MiB/s	0.20	keep	number module
2026-03-24_22:42	small	361ns	296ns	0.82	keep	FxHashMap
2026-03-24_22:42	medium	43.3µs	36.6µs	0.84	keep	FxHashMap
2026-03-24_22:42	large	12.9MiB/s	53.2MiB/s	0.24	keep	FxHashMap
2026-03-24_23:22	small	367ns	289ns	0.79	keep	pre-scan estimate
2026-03-24_23:22	medium	43.9µs	38.0µs	0.86	keep	pre-scan estimate
2026-03-24_23:22	large	44.3MiB/s	51.7MiB/s	0.86	keep	pre-scan estimate2026-03-25_08:05	small	352ns	302ns	0.86	keep	inline skip_ws array+object
2026-03-25_08:05	medium	42.7µs	37.3µs	0.87	keep	inline skip_ws
2026-03-25_08:05	large	46.7MiB/s	50.6MiB/s	0.92	keep	inline skip_ws
2026-03-26_20:54	small	329ns	294ns	0.89	keep	inline skip_ws check
2026-03-26_20:54	medium	39.1µs	37.3µs	0.95	keep	inline skip_ws check
2026-03-26_20:54	large	53.75MiB/s	52.87MiB/s	1.02	keep	inline skip_ws check
